caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1971-075,1971-075-01,1971-075-01-01,1971-075-01-01-01,3/21/72,1,405 U.S. 330,92 S. Ct. 995,31 L. Ed. 2d 274,1972 U.S. LEXIS 75,1971,1504,Burger,70-13,"DUNN, GOVERNOR OF TENNESSEE, et al. v. BLUMSTEIN",11/16/71,,28,50,251,,2,117,50,1,117,,117,,0,1,,2,3,2,0,0,1,0,20220,2,2,0,2,,2,231,,98,81,1,6,1
1971-094,1971-094-01,1971-094-01-01,1971-094-01-01-01,4/24/72,1,406 U.S. 91,92 S. Ct. 1385,31 L. Ed. 2d 712,1972 U.S. LEXIS 107,1971,1504,Burger,49 ORIG,"ILLINOIS v. CITY OF MILWAUKEE, WISCONSIN, et al.",2/29/72,,28,17,3,58,9,,,0,,,,,0,1,,,1,,0,0,1,0,80130,8,1,0,4,,6,600,28 U.S.C. § 1251,81,99,1,9,0
1971-106,1971-106-01,1971-106-01-01,1971-106-01-01-01,5/15/72,1,406 U.S. 320,92 S. Ct. 1562,32 L. Ed. 2d 95,1972 U.S. LEXIS 106,1971,1504,Burger,71-300,ANDREWS v. LOUISVILLE & NASHVILLE RAILROAD CO. et al.,3/22/72,,145,,231,,1,,,0,60,,25,,0,12,2,1,1,2,0,0,1,0,80050,8,1,0,4,,3,363,,102,99,1,7,1
1972-056,1972-056-01,1972-056-01-01,1972-056-01-01-01,2/22/73,1,410 U.S. 356,93 S. Ct. 1001,35 L. Ed. 2d 351,1973 U.S. LEXIS 135,1972,1504,Burger,71-685,"LEHNHAUSEN, DIRECTOR, DEPARTMENT OF LOCAL GOVERNMENT AFFAIRS OF ILLINOIS v. LAKE SHORE AUTO PARTS CO. et al.",1/15/73,,28,17,195,,1,,,0,302,17,300,17,1,12,,1,1,3,0,1,1,0,80100,8,2,0,2,,2,231,,81,99,1,9,0
1972-065,1972-065-01,1972-065-01-01,1972-065-01-01-01,2/28/73,1,410 U.S. 484,93 S. Ct. 1123,35 L. Ed. 2d 443,1973 U.S. LEXIS 17,1972,1504,Burger,71-6516,BRADEN v. 30TH JUDICIAL CIRCUIT COURT OF KENTUCKY,12/5/72,,100,,6,21,1,,,0,74,,26,,0,2,3,1,1,4,0,1,1,0,10020,1,2,0,4,,3,341,,92,81,1,6,3
1972-158,1972-158-01,1972-158-01-01,1972-158-01-01-01,6/21/73,1,413 U.S. 15,93 S. Ct. 2607,37 L. Ed. 2d 419,1973 U.S. LEXIS 149,1972,1504,Burger,70-73,MILLER v. CALIFORNIA,1/18/72,11/7/72,101,,28,6,2,,,0,302,6,302,6,0,1,2,1,1,5,0,1,1,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
1973-020,1973-020-01,1973-020-01-01,1973-020-01-01-01,12/5/73,1,414 U.S. 156,94 S. Ct. 407,38 L. Ed. 2d 379,1973 U.S. LEXIS 181,1973,1504,Burger,72-1176,"NORTH DAKOTA STATE BOARD OF PHARMACY v. SNYDER'S DRUG STORES, INC.",11/6/73,,4,39,144,,1,117,39,0,302,39,300,39,0,12,11,1,1,4,0,1,1,0,80110,8,2,0,2,,2,230,,81,99,1,9,0
1973-077,1973-077-01,1973-077-01-01,1973-077-01-01-01,3/25/74,1,415 U.S. 651,94 S. Ct. 1347,39 L. Ed. 2d 662,1974 U.S. LEXIS 115,1973,1504,Burger,72-1410,"EDELMAN, DIRECTOR, DEPARTMENT OF PUBLIC AID OF ILLINOIS v. JORDAN",12/12/73,,19,17,164,,1,117,17,0,66,,27,,0,4,2,2,1,4,0,1,1,0,20180,2,1,0,2,,2,224,,102,99,1,5,4
1973-102,1973-102-01,1973-102-01-01,1973-102-01-01-01,5/13/74,1,416 U.S. 600,94 S. Ct. 1895,40 L. Ed. 2d 406,1974 U.S. LEXIS 137,1973,1504,Burger,72-6160,MITCHELL v. W. T. GRANT CO.,12/4/73,,134,,135,,1,,,0,302,22,300,22,0,12,2,1,1,2,0,0,1,0,20100,2,1,0,2,,2,230,,95,99,1,5,4
1974-025,1974-025-01,1974-025-01-01,1974-025-01-01-01,1/21/75,1,419 U.S. 522,95 S. Ct. 692,42 L. Ed. 2d 690,1975 U.S. LEXIS 2,1974,1504,Burger,73-5744,TAYLOR v. LOUISIANA,10/16/74,,179,,28,22,2,,,0,302,22,300,22,1,1,2,1,3,4,0,1,1,0,20130,2,2,0,2,,2,215,,95,99,1,8,1
1974-098,1974-098-01,1974-098-01-01,1974-098-01-01-01,5/19/75,1,421 U.S. 397,95 S. Ct. 1708,44 L. Ed. 2d 250,1975 U.S. LEXIS 151,1974,1504,Burger,74-363,"UNITED STATES v. RELIABLE TRANSFER CO., INC.",3/19/75,,27,,116,,1,,,0,94,,22,,0,11,2,1,1,5,0,1,1,0,80060,8,1,0,7,,3,374,NA,94,99,1,9,0
1975-024,1975-024-01,1975-024-01-01,1975-024-01-01-01,1/14/76,1,423 U.S. 276,96 S. Ct. 535,46 L. Ed. 2d 495,1976 U.S. LEXIS 120,1975,1506,Burger,74-1396,"MICHELIN TIRE CORP. v. WAGES, TAX COMMISSIONER, et al.",10/15/75,,252,,5,13,1,117,13,0,302,13,300,13,0,12,6,2,1,2,0,0,1,0,80100,8,2,0,2,,1,129,,92,99,1,8,0
1975-026,1975-026-01,1975-026-01-01,1975-026-01-01-01,1/19/76,2,423 U.S. 325,96 S. Ct. 579,46 L. Ed. 2d 531,1976 U.S. LEXIS 39,1975,1506,Burger,75-543,DOVE v. UNITED STATES,,,100,,27,,1,,,0,98,,24,,0,12,2,1,1,9,0,0,1,0,90200,9,1,0,3,,,,,,99,1,8,1
1975-044,1975-044-01,1975-044-01-01,1975-044-01-01-01,3/3/76,1,424 U.S. 507,96 S. Ct. 1029,47 L. Ed. 2d 196,1976 U.S. LEXIS 5,1975,1506,Burger,74-773,HUDGENS v. NATIONAL LABOR RELATIONS BOARD et al.,10/14/75,,235,,382,,1,82,,0,25,,25,,0,10,2,2,1,5,0,1,1,0,30010,3,1,0,1,,2,200,,94,99,1,6,2
1975-098,1975-098-01,1975-098-01-01,1975-098-01-01-01,5/24/76,1,425 U.S. 748,96 S. Ct. 1817,48 L. Ed. 2d 346,1976 U.S. LEXIS 55,1975,1506,Burger,74-895,"VIRGINIA STATE BOARD OF PHARMACY et al. v. VIRGINIA CITIZENS CONSUMER COUNCIL, INC., et al.",11/11/75,,4,55,134,,2,,,1,126,,126,,0,1,,2,3,2,0,0,1,0,30020,3,2,0,2,,2,200,,100,99,1,7,1
1975-143,1975-143-01,1975-143-01-01,1975-143-01-01-01,6/24/76,1,426 U.S. 833,96 S. Ct. 2465,49 L. Ed. 2d 245,1976 U.S. LEXIS 158,1975,1506,Burger,74-878,"NATIONAL LEAGUE OF CITIES et al. v. USERY, SECRETARY OF LABOR",4/16/75,3/2/76,207,,371,,2,,,1,55,,55,,0,1,,2,2,4,0,1,1,0,70040,7,1,0,1,,1,111,,102,99,1,5,4
1975-149,1975-149-01,1975-149-01-01,1975-149-01-01-01,6/25/76,1,427 U.S. 132,96 S. Ct. 2548,49 L. Ed. 2d 396,1976 U.S. LEXIS 159,1975,1506,Burger,75-185,"LODGE 76, INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, et al. v. WISCONSIN EMPLOYMENT RELATIONS COMMISSION et al.",3/22/76,,249,,4,58,1,117,58,0,302,58,300,58,0,12,2,1,1,3,0,1,1,0,100020,10,2,0,4,,3,356,,92,99,1,6,3
1975-155,1975-155-01,1975-155-01-01,1975-155-01-01-01,6/25/76,6,427 U.S. 297,96 S. Ct. 2513,49 L. Ed. 2d 511,1976 U.S. LEXIS 75,1975,1506,Burger,74-775,"CITY OF NEW ORLEANS et al. v. DUKES, DBA LOUISIANA CONCESSIONS",11/11/75,,3,22,228,,2,,,0,75,,25,,0,1,4,2,1,4,0,1,1,0,80110,8,1,0,2,,2,231,,,99,1,8,0
1975-173,1975-173-01,1975-173-01-01,1975-173-01-01-01,7/2/76,7,428 U.S. 153,96 S. Ct. 2909,49 L. Ed. 2d 859,1976 U.S. LEXIS 82,1975,1506,Burger,74-6257,GREGG v. GEORGIA,3/31/76,,126,,28,13,1,,,0,302,13,300,13,0,11,12,1,1,2,0,0,1,0,10130,1,1,0,2,,2,221,,94,99,1,7,2
1976-006,1976-006-01,1976-006-01-01,1976-006-01-01-01,10/18/76,2,429 U.S. 17,97 S. Ct. 31,50 L. Ed. 2d 21,1976 U.S. LEXIS 167,1976,1506,Burger,72-1251,STANDARD OIL CO. OF CALIFORNIA v. UNITED STATES,,,198,,27,,1,,,0,50,,50,,0,,,1,1,9,0,1,1,0,90110,9,2,0,4,,4,400,,,99,1,8,0
1976-025,1976-025-01,1976-025-01-01,1976-025-01-01-01,12/20/76,1,429 U.S. 190,97 S. Ct. 451,50 L. Ed. 2d 397,1976 U.S. LEXIS 183,1976,1506,Burger,75-628,"CRAIG et al. v. BOREN, GOVERNOR OF OKLAHOMA, et al.",10/5/76,,179,,28,42,2,,,1,107,,107,,0,1,,1,3,3,0,1,1,0,20130,2,2,0,2,,2,231,,92,92,1,7,2
1976-035,1976-035-01,1976-035-01-01,1976-035-01-01-01,1/12/77,1,429 U.S. 363,97 S. Ct. 582,50 L. Ed. 2d 550,1977 U.S. LEXIS 8,1976,1506,Burger,75-567,OREGON ex rel. STATE LAND BOARD v. CORVALLIS SAND & GRAVEL CO.,10/4/76,,28,43,187,,1,,,0,302,43,300,43,0,12,2,2,1,5,0,1,1,0,100130,10,1,0,7,,,,,102,99,1,6,3
1976-064,1976-064-01,1976-064-01-01,1976-064-01-01-01,3/7/77,1,430 U.S. 274,97 S. Ct. 1076,51 L. Ed. 2d 326,1977 U.S. LEXIS 56,1976,1506,Burger,76-29,"COMPLETE AUTO TRANSIT, INC. v. BRADY, CHAIRMAN, MISSISSIPPI TAX COMMISSION",1/19/77,,245,,28,29,2,117,29,0,302,29,300,29,0,1,2,2,1,2,0,0,1,0,80100,8,2,0,2,,1,111,,100,99,1,9,0
1976-161,1976-161-01,1976-161-01-01,1976-161-01-01-01,6/23/77,1,433 U.S. 36,97 S. Ct. 2549,53 L. Ed. 2d 568,1977 U.S. LEXIS 134,1976,1506,Burger,76-15,"CONTINENTAL T.V., INC., et al. v. GTE SYLVANIA INC.",2/28/77,,161,,184,,1,,,0,50,,29,,1,10,3,1,1,2,0,0,1,0,80010,8,1,0,4,,3,367,,101,99,1,6,2
1976-166,1976-166-01,1976-166-01-01,1976-166-01-01-01,6/24/77,1,433 U.S. 186,97 S. Ct. 2569,53 L. Ed. 2d 683,1977 U.S. LEXIS 139,1976,1506,Burger,75-1812,SHAFFER et al. v. HEITNER,2/22/77,,200,,193,,2,,,0,302,9,300,9,0,1,2,1,3,3,0,1,1,0,40060,4,2,0,2,,2,230,,98,99,1,7,1
1977-072,1977-072-01,1977-072-01-01,1977-072-01-01-01,4/26/78,1,435 U.S. 734,98 S. Ct. 1388,55 L. Ed. 2d 682,1978 U.S. LEXIS 24,1977,1506,Burger,76-1706,DEPARTMENT OF REVENUE OF WASHINGTON v. ASSOCIATION OF WASHINGTON STEVEDORING COMPANIES et al.,1/16/78,,7,56,234,,1,117,56,0,302,56,300,56,1,11,2,1,1,4,0,1,1,0,80100,8,2,0,2,,1,111,,100,99,1,8,0
1977-103,1977-103-01,1977-103-01-01,1977-103-01-01-01,6/6/78,1,436 U.S. 658,98 S. Ct. 2018,56 L. Ed. 2d 611,1978 U.S. LEXIS 100,1977,1506,Burger,75-1914,MONELL et al. v. DEPARTMENT OF SOCIAL SERVICES OF THE CITY OF NEW YORK et al.,11/2/77,,9,37,3,37,1,117,37,0,96,,22,,0,11,2,1,1,3,0,1,1,0,20400,2,2,0,4,7,3,314,,92,92,1,7,2
1977-109,1977-109-01,1977-109-01-01,1977-109-01-01-01,6/14/78,1,437 U.S. 1,98 S. Ct. 2141,57 L. Ed. 2d 1,1978 U.S. LEXIS 3,1977,1506,Burger,76-6528,BURKS v. UNITED STATES,11/28/77,,136,,27,,1,,,0,117,,26,,0,11,3,1,1,4,0,1,1,0,10170,1,2,0,1,,2,206,,99,99,1,8,0
1977-113,1977-113-01,1977-113-01-01,1977-113-01-01-01,6/14/78,1,437 U.S. 82,98 S. Ct. 2187,57 L. Ed. 2d 65,1978 U.S. LEXIS 109,1977,1506,Burger,76-1382,UNITED STATES v. SCOTT,2/21/78,,27,,100,,1,,,0,82,,26,,0,11,9,2,1,4,0,1,1,0,10170,1,1,0,1,,2,206,,102,99,1,5,4
1978-023,1978-023-01,1978-023-01-01,1978-023-01-01-01,1/9/79,1,439 U.S. 357,99 S. Ct. 664,58 L. Ed. 2d 579,1979 U.S. LEXIS 208,1978,1506,Burger,77-6067,DUREN v. MISSOURI,11/1/78,,100,,28,30,1,,,0,302,30,300,30,0,6,2,1,3,4,0,1,1,0,20130,2,2,0,2,,2,217,,95,99,1,8,1
1978-080,1978-080-01,1978-080-01-01,1978-080-01-01-01,4/24/79,1,441 U.S. 322,99 S. Ct. 1727,60 L. Ed. 2d 250,1979 U.S. LEXIS 35,1978,1506,Burger,77-1439,HUGHES v. OKLAHOMA,1/9/79,,157,,28,42,2,,,0,302,42,300,42,0,1,2,1,3,3,0,1,1,0,100080,10,2,0,2,,1,111,,92,92,1,7,2
1979-044,1979-044-01,1979-044-01-01,1979-044-01-01-01,2/27/80,1,445 U.S. 40,100 S. Ct. 906,63 L. Ed. 2d 186,1980 U.S. LEXIS 84,1979,1506,Burger,78-5705,TRAMMEL v. UNITED STATES,10/29/79,,100,,27,,1,,,0,52,,30,,0,11,2,1,1,2,0,0,1,0,90110,9,1,0,7,,,,,99,99,1,9,0
1979-140,1979-140-01,1979-140-01-01,1979-140-01-01-01,6/25/80,1,448 U.S. 83,100 S. Ct. 2547,65 L. Ed. 2d 619,1980 U.S. LEXIS 141,1979,1506,Burger,79-244,UNITED STATES v. SALVUCCI et al.,3/26/80,,27,,100,,1,,,0,80,,21,,0,2,2,2,1,4,0,1,1,0,10050,1,1,0,1,,2,205,,102,99,1,7,2
1979-147,1979-147-01,1979-147-01-01,1979-147-01-01-01,6/27/80,7,448 U.S. 261,100 S. Ct. 2647,65 L. Ed. 2d 757,1980 U.S. LEXIS 54,1979,1506,Burger,79-116,THOMAS v. WASHINGTON GAS LIGHT CO. et al.,3/19/80,,145,,151,,1,11,,0,24,,24,,0,12,3,1,1,4,0,1,1,0,80050,8,2,0,1,,1,143,,103,99,1,7,2
1980-151,1980-151-01,1980-151-01-01,1980-151-01-01-01,7/2/81,1,453 U.S. 609,101 S. Ct. 2946,69 L. Ed. 2d 884,1981 U.S. LEXIS 43,1980,1506,Burger,80-581,COMMONWEALTH EDISON CO. et al. v. MONTANA et al.,3/30/81,,132,,28,31,2,,,0,302,31,300,31,0,1,2,2,1,2,0,0,1,0,80100,8,2,0,2,,1,111,,98,99,1,6,3
1981-103,1981-103-01,1981-103-01-01,1981-103-01-01-01,6/1/82,1,456 U.S. 798,102 S. Ct. 2157,72 L. Ed. 2d 572,1982 U.S. LEXIS 18,1981,1507,Burger,80-2209,UNITED STATES v. ROSS,3/1/82,,27,,100,,1,,,0,55,,32,,1,12,3,2,1,4,0,1,1,0,10060,1,1,0,1,,2,205,,103,99,1,6,3
1981-176,1981-176-01,1981-176-01-01,1981-176-01-01-01,7/2/82,1,458 U.S. 941,102 S. Ct. 3456,73 L. Ed. 2d 1254,1982 U.S. LEXIS 13,1981,1507,Burger,81-613,"SPORHASE et al. v. NEBRASKA EX REL. DOUGLAS, ATTORNEY GENERAL",3/30/82,,195,,28,32,2,,,0,302,32,300,32,1,1,2,1,3,4,0,1,1,0,100080,10,2,0,2,4,1,111,,103,99,1,7,2
1982-103,1982-103-01,1982-103-01-01,1982-103-01-01-01,6/8/83,1,462 U.S. 213,103 S. Ct. 2317,76 L. Ed. 2d 527,1983 U.S. LEXIS 54,1982,1507,Burger,81-430,ILLINOIS v. GATES ET UX.,10/13/82,3/1/83,28,17,100,,1,,,0,302,17,300,17,1,11,2,2,1,3,0,1,1,0,10050,1,1,0,2,,2,205,,102,99,1,6,3
1982-163,1982-163-01,1982-163-01-01,1982-163-01-01-01,7/6/83,1,463 U.S. 1032,103 S. Ct. 3469,77 L. Ed. 2d 1201,1983 U.S. LEXIS 7,1982,1507,Burger,82-256,MICHIGAN v. LONG,2/23/83,,28,27,100,,1,,,0,302,27,300,27,1,10,3,2,1,4,0,1,1,0,10060,1,1,0,2,,2,205,,104,99,1,6,3
1983-029,1983-029-01,1983-029-01-01,1983-029-01-01-01,1/23/84,1,465 U.S. 89,104 S. Ct. 900,79 L. Ed. 2d 67,1984 U.S. LEXIS 4,1983,1507,Burger,81-2101,PENNHURST STATE SCHOOL AND HOSPITAL et al. v. HALDERMAN et al.,2/22/83,10/3/83,167,,229,,1,117,45,0,109,,23,,1,12,2,2,1,4,0,1,1,0,100120,10,1,0,2,,2,224,,101,99,1,5,4
1983-038,1983-038-01,1983-038-01-01,1983-038-01-01-01,2/22/84,1,465 U.S. 354,104 S. Ct. 1099,79 L. Ed. 2d 361,1984 U.S. LEXIS 31,1983,1507,Burger,82-1047,UNITED STATES v. ONE ASSORTMENT OF 89 FIREARMS,11/30/83,,27,,195,,1,,,0,114,,24,,1,11,3,2,1,4,0,1,1,0,10170,1,1,0,1,,2,206,,99,99,1,9,0
1983-074,1983-074-01,1983-074-01-01,1983-074-01-01-01,4/18/84,1,466 U.S. 353,104 S. Ct. 1837,80 L. Ed. 2d 356,1984 U.S. LEXIS 62,1983,1507,Burger,83-96,"LIMBACH, TAX COMMISSIONER OF OHIO v. HOOVEN & ALLISON CO.",2/22/84,,28,41,184,,1,117,41,0,302,41,300,41,0,12,3,1,1,5,0,1,1,0,80100,8,2,0,2,,1,129,,100,99,1,9,0
1983-131,1983-131-01,1983-131-01-01,1983-131-01-01-01,6/19/84,1,467 U.S. 752,104 S. Ct. 2731,81 L. Ed. 2d 628,1984 U.S. LEXIS 115,1983,1507,Burger,82-1260,COPPERWELD CORP. et al. v. INDEPENDENCE TUBE CORP.,12/5/83,,184,,184,,1,,,0,66,,27,,0,11,2,2,1,3,0,1,1,0,80010,8,1,0,4,,3,367,,99,99,1,5,3
1984-029,1984-029-01,1984-029-01-01,1984-029-01-01-01,2/19/85,1,469 U.S. 528,105 S. Ct. 1005,83 L. Ed. 2d 1016,1985 U.S. LEXIS 48,1984,1507,Burger,82-1913,GARCIA v. SAN ANTONIO METROPOLITAN TRANSIT AUTHORITY et al.,3/19/84,10/1/84,8,51,18,51,2,71,,0,122,,122,,0,1,,1,1,4,0,1,1,0,70040,7,2,0,1,,3,334,,100,92,1,5,4
1984-072,1984-072-01,1984-072-01-01,1984-072-01-01-01,4/1/85,1,471 U.S. 130,105 S. Ct. 1811,85 L. Ed. 2d 99,1985 U.S. LEXIS 200,1984,1507,Burger,83-1750,UNITED STATES v. MILLER,1/16/85,,27,,137,,1,,,0,50,,29,,0,12,8,2,1,3,0,1,1,0,10600,1,1,0,1,,2,208,,98,99,1,8,0
1985-024,1985-024-01,1985-024-01-01,1985-024-01-01-01,1/21/86,1,474 U.S. 327,106 S. Ct. 662,88 L. Ed. 2d 662,1986 U.S. LEXIS 43,1985,1507,Burger,84-5872,DANIELS v. WILLIAMS,11/6/85,,215,,19,55,1,,,0,126,,24,,1,2,2,1,1,2,0,0,1,0,20400,2,1,0,2,,2,230,,102,99,1,9,0
1985-029,1985-029-01,1985-029-01-01,1985-029-01-01-01,1/27/86,1,474 U.S. 438,106 S. Ct. 725,88 L. Ed. 2d 814,1986 U.S. LEXIS 48,1985,1507,Burger,84-744,UNITED STATES v. LANE et al.,10/9/85,,27,,100,,1,,,0,120,,25,,0,2,3,2,1,7,0,1,1,0,10370,1,1,0,4,,4,401,,99,99,1,5,4
1985-078,1985-078-01,1985-078-01-01,1985-078-01-01-01,4/30/86,1,476 U.S. 79,106 S. Ct. 1712,90 L. Ed. 2d 69,1986 U.S. LEXIS 150,1985,1507,Burger,84-6263,BATSON v. KENTUCKY,12/12/85,,100,,28,21,1,,,0,302,21,300,21,0,12,2,1,1,4,0,1,1,0,20040,2,2,0,2,,2,231,,101,92,1,7,2
1986-145,1986-145-01,1986-145-01-01,1986-145-01-01-01,6/23/87,1,483 U.S. 219,107 S. Ct. 2802,97 L. Ed. 2d 187,1987 U.S. LEXIS 2873,1986,1601,Rehnquist,85-2116,"PUERTO RICO v. BRANSTAD, GOVERNOR OF IOWA, et al.",3/30/87,,28,46,28,19,1,,,0,71,,28,,0,11,2,2,1,3,0,1,1,0,10320,1,1,0,2,,1,145,,98,102,1,9,0
1986-146,1986-146-01,1986-146-01-01,1986-146-01-01-01,6/23/87,1,483 U.S. 232,107 S. Ct. 2810,97 L. Ed. 2d 199,1987 U.S. LEXIS 2872,1986,1601,Rehnquist,85-1963,"TYLER PIPE INDUSTRIES, INC. v. WASHINGTON STATE DEPARTMENT OF REVENUE",3/2/87,,184,,7,56,2,,,0,302,56,300,56,0,1,2,2,3,5,0,1,1,0,80100,8,1,0,2,,1,111,,103,92,1,6,2
1986-153,1986-153-01,1986-153-01-01,1986-153-01-01-01,6/25/87,1,483 U.S. 435,107 S. Ct. 2924,97 L. Ed. 2d 364,1987 U.S. LEXIS 2892,1986,1601,Rehnquist,85-1581,SOLORIO v. UNITED STATES,2/24/87,,186,,27,,1,,,0,5,,4,,0,11,2,1,1,2,0,0,1,0,20240,2,1,0,1,,1,116,,102,102,1,6,3
1986-154,1986-154-01,1986-154-01-01,1986-154-01-01-01,6/25/87,7,483 U.S. 468,107 S. Ct. 2941,97 L. Ed. 2d 389,1987 U.S. LEXIS 2893,1986,1601,Rehnquist,85-1716,"WELCH v. TEXAS DEPARTMENT OF HIGHWAYS AND PUBLIC TRANSPORTATION, et al.",3/4/87,,8,51,7,51,1,,,0,121,,25,,1,12,2,1,1,2,0,0,1,0,80060,8,2,0,2,,2,224,NA,101,102,1,5,4
1987-049,1987-049-01,1987-049-01-01,1987-049-01-01-01,3/22/88,1,485 U.S. 271,108 S. Ct. 1133,99 L. Ed. 2d 296,1988 U.S. LEXIS 1444,1987,1603,Rehnquist,86-1329,GULFSTREAM AEROSPACE CORPORATION v. MAYACAMAS CORPORATION,12/7/87,,233,,123,,1,,,0,50,,29,,1,2,9,1,1,2,0,0,1,0,90380,9,1,0,4,,6,600,28 U.S.C. § 1291,98,102,1,8,0
1987-064,1987-064-01,1987-064-01-01,1987-064-01-01-01,4/20/88,1,485 U.S. 505,108 S. Ct. 1355,99 L. Ed. 2d 592,1988 U.S. LEXIS 1873,1987,1603,Rehnquist,94 ORIG,"SOUTH CAROLINA v. BAKER, SECRETARY OF THE TREASURY",12/7/87,,28,48,408,,9,,,0,,,,,0,1,,,1,,0,0,1,0,100060,10,2,0,1,,3,345,,92,102,1,7,1
1988-085,1988-085-01,1988-085-01-01,1988-085-01-01-01,5/15/89,1,490 U.S. 401,109 S. Ct. 1874,104 L. Ed. 2d 459,1989 U.S. LEXIS 2437,1988,1603,Rehnquist,87-1344,"THORNBURGH, ATTORNEY GENERAL OF THE UNITED STATES, et al. v. ABBOTT et al.",11/8/88,,1,,215,,1,36,,0,55,,32,,0,11,3,2,1,5,0,1,1,0,30010,3,1,0,1,,2,200,,100,102,1,6,3
1988-088,1988-088-01,1988-088-01-01,1988-088-01-01-01,5/15/89,1,490 U.S. 477,109 S. Ct. 1917,104 L. Ed. 2d 526,1989 U.S. LEXIS 2397,1988,1603,Rehnquist,88-385,"RODRIGUEZ DE QUIJAS et al. v. SHEARSON/AMERICAN EXPRESS, INC.",3/27/89,,173,,119,,1,,,0,121,,25,,0,12,3,1,1,2,0,0,1,0,80120,8,1,0,4,,3,365,,106,102,1,5,4
1988-103,1988-103-01,1988-103-01-01,1988-103-01-01-01,6/12/89,1,490 U.S. 794,109 S. Ct. 2201,104 L. Ed. 2d 865,1989 U.S. LEXIS 2839,1988,1603,Rehnquist,88-333,ALABAMA v. SMITH,4/24/89,,28,1,100,,1,,,0,302,1,300,1,1,5,4,2,1,4,0,1,1,0,10170,1,1,0,2,,2,206,,102,102,1,8,1
1988-121,1988-121-01,1988-121-01-01,1988-121-01-01-01,6/19/89,1,491 U.S. 324,109 S. Ct. 2491,105 L. Ed. 2d 275,1989 U.S. LEXIS 3041,1988,1603,Rehnquist,88-449,HEALY et al. v. THE BEER INSTITUTE et al.,3/28/89,,19,8,105,,2,117,8,0,53,,22,,0,1,3,2,3,2,0,0,1,0,80110,8,2,0,2,,1,111,,100,92,1,6,3
1989-023,1989-023-01,1989-023-01-01,1989-023-01-01-01,1/17/90,1,493 U.S. 400,110 S. Ct. 701,107 L. Ed. 2d 816,1990 U.S. LEXIS 486,1989,1603,Rehnquist,87-2066,"W. S. KIRKPATRICK & CO., INC., et al. v. ENVIRONMENTAL TECTONICS CORP., INTERNATIONAL",11/27/89,,176,,176,,1,,,0,92,,23,,0,12,3,2,1,2,0,0,1,0,90490,9,2,0,7,,,,,105,102,1,9,0
1989-119,1989-119-01,1989-119-01-01,1989-119-01-01-01,6/21/90,1,497 U.S. 37,110 S. Ct. 2715,111 L. Ed. 2d 30,1990 U.S. LEXIS 3294,1989,1603,Rehnquist,89-742,"COLLINS, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, INSTITUTIONAL DIVISION v. YOUNGBLOOD",3/19/90,,28,51,126,,1,,,0,119,,25,,0,11,3,2,1,3,0,1,1,0,10180,1,1,0,2,,1,127,,102,102,1,9,0
1990-051,1990-051-01,1990-051-01-01,1990-051-01-01-01,3/26/91,1,499 U.S. 279,111 S. Ct. 1246,113 L. Ed. 2d 302,1991 U.S. LEXIS 1854,1990,1604,Rehnquist,89-839,ARIZONA v. FULMINANTE,10/10/90,,28,4,100,,1,,,0,302,4,300,4,0,5,4,2,1,2,0,0,1,0,10010,1,2,0,2,,2,230,,95,95,1,5,4
1990-092,1990-092-01,1990-092-01-01,1990-092-01-01-01,5/30/91,1,500 U.S. 565,111 S. Ct. 1982,114 L. Ed. 2d 619,1991 U.S. LEXIS 3016,1990,1604,Rehnquist,89-1690,CALIFORNIA v. CHARLES STEVEN ACEVEDO,1/8/91,,28,6,100,,1,,,0,302,6,301,6,0,13,3,2,1,4,0,1,1,0,10060,1,1,0,2,,2,205,,100,102,1,6,3
1990-093,1990-093-01,1990-093-01-01,1990-093-01-01-01,6/3/91,1,500 U.S. 603,111 S. Ct. 2071,114 L. Ed. 2d 649,1991 U.S. LEXIS 3022,1990,1604,Rehnquist,90-34,"EXXON CORPORATION v. CENTRAL GULF LINES, INC., et al.",4/15/91,,198,,116,,1,,,0,96,,22,,0,2,2,1,1,4,0,1,1,0,90400,9,2,0,4,,6,600,28 U.S.C. § 1333,98,102,1,9,0
1990-122,1990-122-01,1990-122-01-01,1990-122-01-01-01,6/24/91,1,501 U.S. 722,111 S. Ct. 2546,115 L. Ed. 2d 640,1991 U.S. LEXIS 3640,1990,1604,Rehnquist,89-7662,"ROGER KEITH COLEMAN v. CHARLES E. THOMPSON, WARDEN",2/25/91,,126,,28,55,1,,,0,127,,24,,0,11,6,1,1,2,0,0,1,0,10020,1,1,0,7,3,,,,104,102,1,6,3
