caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,uscite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,caseid,parties,year,overruled,overruling,indeg,outdeg
1977-109,1977-109-01,1977-109-01-01,1977-109-01-01-01,6/14/1978,1.0,437US1,98 S. Ct. 2141,57 L. Ed. 2d 1,1978 U.S. LEXIS 3,1977.0,1506.0,Burger,76-6528,BURKS v. UNITED STATES,11/28/1977,,136.0,,27.0,,1.0,,,0.0,117.0,,26.0,,0.0,11.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,10170.0,1.0,2.0,0.0,1.0,,2.0,206.0,,99.0,99.0,1.0,8.0,0.0,26548.0,Burks v. United States,1978.0,0.0,20638 21163 21427 21992,23.0,26.0
1977-113,1977-113-01,1977-113-01-01,1977-113-01-01-01,6/14/1978,1.0,437US82,98 S. Ct. 2187,57 L. Ed. 2d 65,1978 U.S. LEXIS 109,1977.0,1506.0,Burger,76-1382,UNITED STATES v. SCOTT,2/21/1978,,27.0,,100.0,,1.0,,,0.0,82.0,,26.0,,0.0,11.0,9.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10170.0,1.0,1.0,0.0,1.0,,2.0,206.0,,102.0,99.0,1.0,5.0,4.0,26552.0,United States v. Scott,1978.0,0.0,25858,24.0,36.0
1978-023,1978-023-01,1978-023-01-01,1978-023-01-01-01,1/9/1979,1.0,439US357,99 S. Ct. 664,58 L. Ed. 2d 579,1979 U.S. LEXIS 208,1978.0,1506.0,Burger,77-6067,DUREN v. MISSOURI,11/1/1978,,100.0,,28.0,30.0,1.0,,,0.0,302.0,30.0,300.0,30.0,0.0,6.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,20130.0,2.0,2.0,0.0,2.0,,2.0,217.0,,95.0,99.0,1.0,8.0,1.0,,,,,,,
1978-080,1978-080-01,1978-080-01-01,1978-080-01-01-01,4/24/1979,1.0,441US322,99 S. Ct. 1727,60 L. Ed. 2d 250,1979 U.S. LEXIS 35,1978.0,1506.0,Burger,77-1439,HUGHES v. OKLAHOMA,1/9/1979,,157.0,,28.0,42.0,2.0,,,0.0,302.0,42.0,300.0,42.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,100080.0,10.0,2.0,0.0,2.0,,1.0,111.0,,92.0,92.0,1.0,7.0,2.0,26721.0,Hughes v. Oklahoma,1979.0,0.0,10219,29.0,31.0
1979-044,1979-044-01,1979-044-01-01,1979-044-01-01-01,2/27/1980,1.0,445US40,100 S. Ct. 906,63 L. Ed. 2d 186,1980 U.S. LEXIS 84,1979.0,1506.0,Burger,78-5705,TRAMMEL v. UNITED STATES,10/29/1979,,100.0,,27.0,,1.0,,,0.0,52.0,,30.0,,0.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,90110.0,9.0,1.0,0.0,7.0,,,,,99.0,99.0,1.0,9.0,0.0,26876.0,Trammel v. United States,1980.0,0.0,21731,7.0,16.0
1979-140,1979-140-01,1979-140-01-01,1979-140-01-01-01,6/25/1980,1.0,448US83,100 S. Ct. 2547,65 L. Ed. 2d 619,1980 U.S. LEXIS 141,1979.0,1506.0,Burger,79-244,UNITED STATES v. SALVUCCI et al.,3/26/1980,,27.0,,100.0,,1.0,,,0.0,80.0,,21.0,,0.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10050.0,1.0,1.0,0.0,1.0,,2.0,205.0,,102.0,99.0,1.0,7.0,2.0,26989.0,United States v. Salvucci,1980.0,0.0,22021,8.0,18.0
1979-147,1979-147-01,1979-147-01-01,1979-147-01-01-01,6/27/1980,7.0,448US261,100 S. Ct. 2647,65 L. Ed. 2d 757,1980 U.S. LEXIS 54,1979.0,1506.0,Burger,79-116,THOMAS v. WASHINGTON GAS LIGHT CO. et al.,3/19/1980,,145.0,,151.0,,1.0,11.0,,0.0,24.0,,24.0,,0.0,12.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,80050.0,8.0,2.0,0.0,1.0,,1.0,143.0,,103.0,99.0,1.0,7.0,2.0,26996.0,Thomas v. Wash. Gas Light Co.,1980.0,0.0,20288,5.0,23.0
1980-151,1980-151-01,1980-151-01-01,1980-151-01-01-01,7/2/1981,1.0,453US609,101 S. Ct. 2946,69 L. Ed. 2d 884,1981 U.S. LEXIS 43,1980.0,1506.0,Burger,80-581,COMMONWEALTH EDISON CO. et al. v. MONTANA et al.,3/30/1981,,132.0,,28.0,31.0,2.0,,,0.0,302.0,31.0,300.0,31.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,80100.0,8.0,2.0,0.0,2.0,,1.0,111.0,,98.0,99.0,1.0,6.0,3.0,27222.0,Commonwealth Edison Co. v. Mont.,1981.0,0.0,15948,19.0,64.0
1981-103,1981-103-01,1981-103-01-01,1981-103-01-01-01,6/1/1982,1.0,456US798,102 S. Ct. 2157,72 L. Ed. 2d 572,1982 U.S. LEXIS 18,1981.0,1507.0,Burger,80-2209,UNITED STATES v. ROSS,3/1/1982,,27.0,,100.0,,1.0,,,0.0,55.0,,32.0,,1.0,12.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10060.0,1.0,1.0,0.0,1.0,,2.0,205.0,,103.0,99.0,1.0,6.0,3.0,27379.0,United States v. Ross,1982.0,0.0,27217,30.0,39.0
1981-176,1981-176-01,1981-176-01-01,1981-176-01-01-01,7/2/1982,1.0,458US941,102 S. Ct. 3456,73 L. Ed. 2d 1254,1982 U.S. LEXIS 13,1981.0,1507.0,Burger,81-613,"SPORHASE et al. v. NEBRASKA EX REL. DOUGLAS, ATTORNEY GENERAL",3/30/1982,,195.0,,28.0,32.0,2.0,,,0.0,302.0,32.0,300.0,32.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,100080.0,10.0,2.0,0.0,2.0,4.0,1.0,111.0,,103.0,99.0,1.0,7.0,2.0,,,,,,,
