caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,uscite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,caseid,parties,year,overruled,overruling,indeg,outdeg
1986-145,1986-145-01,1986-145-01-01,1986-145-01-01-01,6/23/1987,1.0,483US219,107 S. Ct. 2802,97 L. Ed. 2d 187,1987 U.S. LEXIS 2873,1986.0,1601.0,Rehnquist,85-2116,"PUERTO RICO v. BRANSTAD, GOVERNOR OF IOWA, et al.",3/30/1987,,28.0,46.0,28.0,19.0,1.0,,,0.0,71.0,,28.0,,0.0,11.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,10320.0,1.0,1.0,0.0,2.0,,1.0,145.0,,98.0,102.0,1.0,9.0,0.0,28605.0,P.R. v. Branstad,1987.0,0.0,3130,4.0,18.0
1986-146,1986-146-01,1986-146-01-01,1986-146-01-01-01,6/23/1987,1.0,483US232,107 S. Ct. 2810,97 L. Ed. 2d 199,1987 U.S. LEXIS 2872,1986.0,1601.0,Rehnquist,85-1963,"TYLER PIPE INDUSTRIES, INC. v. WASHINGTON STATE DEPARTMENT OF REVENUE",3/2/1987,,184.0,,7.0,56.0,2.0,,,0.0,302.0,56.0,300.0,56.0,0.0,1.0,2.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,80100.0,8.0,1.0,0.0,2.0,,1.0,111.0,,103.0,92.0,1.0,6.0,2.0,28606.0,Tyler Pipe Indus. v. Washington State Dep't of Revenue,1987.0,0.0,23077,16.0,29.0
1986-153,1986-153-01,1986-153-01-01,1986-153-01-01-01,6/25/1987,1.0,483US435,107 S. Ct. 2924,97 L. Ed. 2d 364,1987 U.S. LEXIS 2892,1986.0,1601.0,Rehnquist,85-1581,SOLORIO v. UNITED STATES,2/24/1987,,186.0,,27.0,,1.0,,,0.0,5.0,,4.0,,0.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,20240.0,2.0,1.0,0.0,1.0,,1.0,116.0,,102.0,102.0,1.0,6.0,3.0,28613.0,Solorio v. United States,1987.0,0.0,24521,6.0,33.0
1986-154,1986-154-01,1986-154-01-01,1986-154-01-01-01,6/25/1987,7.0,483US468,107 S. Ct. 2941,97 L. Ed. 2d 389,1987 U.S. LEXIS 2893,1986.0,1601.0,Rehnquist,85-1716,"WELCH v. TEXAS DEPARTMENT OF HIGHWAYS AND PUBLIC TRANSPORTATION, et al.",3/4/1987,,8.0,51.0,7.0,51.0,1.0,,,0.0,121.0,,25.0,,1.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,80060.0,8.0,2.0,0.0,2.0,,2.0,224.0,,101.0,102.0,1.0,5.0,4.0,28614.0,Welch v. Texas Dep't of Highways & Public Transp.,1987.0,0.0,23047,17.0,51.0
1987-049,1987-049-01,1987-049-01-01,1987-049-01-01-01,3/22/1988,1.0,485US271,108 S. Ct. 1133,99 L. Ed. 2d 296,1988 U.S. LEXIS 1444,1987.0,1603.0,Rehnquist,86-1329,GULFSTREAM AEROSPACE CORPORATION v. MAYACAMAS CORPORATION,12/7/1987,,233.0,,123.0,,1.0,,,0.0,50.0,,29.0,,1.0,2.0,9.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,90380.0,9.0,1.0,0.0,4.0,,6.0,600.0,28 U.S.C. § 1291,98.0,102.0,1.0,8.0,0.0,28696.0,Gulfstream Aerospace Corp. v. Mayacamas Corp.,1988.0,0.0,18256 19606,2.0,24.0
1987-064,1987-064-01,1987-064-01-01,1987-064-01-01-01,4/20/1988,1.0,485US505,108 S. Ct. 1355,99 L. Ed. 2d 592,1988 U.S. LEXIS 1873,1987.0,1603.0,Rehnquist,94 ORIG,"SOUTH CAROLINA v. BAKER, SECRETARY OF THE TREASURY",12/7/1987,,28.0,48.0,408.0,,9.0,,,0.0,,,,,0.0,1.0,,,1.0,,0.0,0.0,1.0,0.0,100060.0,10.0,2.0,0.0,1.0,,3.0,345.0,,92.0,102.0,1.0,7.0,1.0,28711.0,South Carolina v. Baker,1988.0,0.0,9984,12.0,37.0
1988-085,1988-085-01,1988-085-01-01,1988-085-01-01-01,5/15/1989,1.0,490US401,109 S. Ct. 1874,104 L. Ed. 2d 459,1989 U.S. LEXIS 2437,1988.0,1603.0,Rehnquist,87-1344,"THORNBURGH, ATTORNEY GENERAL OF THE UNITED STATES, et al. v. ABBOTT et al.",11/8/1988,,1.0,,215.0,,1.0,36.0,,0.0,55.0,,32.0,,0.0,11.0,3.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,30010.0,3.0,1.0,0.0,1.0,,2.0,200.0,,100.0,102.0,1.0,6.0,3.0,28930.0,Thornburgh v. Abbott,1989.0,0.0,25655,6.0,21.0
1988-088,1988-088-01,1988-088-01-01,1988-088-01-01-01,5/15/1989,1.0,490US477,109 S. Ct. 1917,104 L. Ed. 2d 526,1989 U.S. LEXIS 2397,1988.0,1603.0,Rehnquist,88-385,"RODRIGUEZ DE QUIJAS et al. v. SHEARSON/AMERICAN EXPRESS, INC.",3/27/1989,,173.0,,119.0,,1.0,,,0.0,121.0,,25.0,,0.0,12.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,80120.0,8.0,1.0,0.0,4.0,,3.0,365.0,,106.0,102.0,1.0,5.0,4.0,28933.0,"Rodriguez de Quijas v. Shearson/American Express, Inc.",1989.0,0.0,21059,15.0,15.0
1988-103,1988-103-01,1988-103-01-01,1988-103-01-01-01,6/12/1989,1.0,490US794,109 S. Ct. 2201,104 L. Ed. 2d 865,1989 U.S. LEXIS 2839,1988.0,1603.0,Rehnquist,88-333,ALABAMA v. SMITH,4/24/1989,,28.0,1.0,100.0,,1.0,,,0.0,302.0,1.0,300.0,1.0,1.0,5.0,4.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10170.0,1.0,1.0,0.0,2.0,,2.0,206.0,,102.0,102.0,1.0,8.0,1.0,28948.0,Ala. v. Smith,1989.0,0.0,24549,2.0,14.0
1988-121,1988-121-01,1988-121-01-01,1988-121-01-01-01,6/19/1989,1.0,491US324,109 S. Ct. 2491,105 L. Ed. 2d 275,1989 U.S. LEXIS 3041,1988.0,1603.0,Rehnquist,88-449,HEALY et al. v. THE BEER INSTITUTE et al.,3/28/1989,,19.0,8.0,105.0,,2.0,117.0,8.0,0.0,53.0,,22.0,,0.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,80110.0,8.0,2.0,0.0,2.0,,1.0,111.0,,100.0,92.0,1.0,6.0,3.0,,,,,,,
1989-023,1989-023-01,1989-023-01-01,1989-023-01-01-01,1/17/1990,1.0,493US400,110 S. Ct. 701,107 L. Ed. 2d 816,1990 U.S. LEXIS 486,1989.0,1603.0,Rehnquist,87-2066,"W. S. KIRKPATRICK & CO., INC., et al. v. ENVIRONMENTAL TECTONICS CORP., INTERNATIONAL",11/27/1989,,176.0,,176.0,,1.0,,,0.0,92.0,,23.0,,0.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,90490.0,9.0,2.0,0.0,7.0,,,,,105.0,102.0,1.0,9.0,0.0,,,,,,,
1989-119,1989-119-01,1989-119-01-01,1989-119-01-01-01,6/21/1990,1.0,497US37,110 S. Ct. 2715,111 L. Ed. 2d 30,1990 U.S. LEXIS 3294,1989.0,1603.0,Rehnquist,89-742,"COLLINS, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, INSTITUTIONAL DIVISION v. YOUNGBLOOD",3/19/1990,,28.0,51.0,126.0,,1.0,,,0.0,119.0,,25.0,,0.0,11.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,10180.0,1.0,1.0,0.0,2.0,,1.0,127.0,,102.0,102.0,1.0,9.0,0.0,29146.0,Collins v. Youngblood,1990.0,0.0,6609 10687,15.0,23.0
1990-051,1990-051-01,1990-051-01-01,1990-051-01-01-01,3/26/1991,1.0,499US279,111 S. Ct. 1246,113 L. Ed. 2d 302,1991 U.S. LEXIS 1854,1990.0,1604.0,Rehnquist,89-839,ARIZONA v. FULMINANTE,10/10/1990,,28.0,4.0,100.0,,1.0,,,0.0,302.0,4.0,300.0,4.0,0.0,5.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,10010.0,1.0,2.0,0.0,2.0,,2.0,230.0,,95.0,95.0,1.0,5.0,4.0,,,,,,,
1990-092,1990-092-01,1990-092-01-01,1990-092-01-01-01,5/30/1991,1.0,500US565,111 S. Ct. 1982,114 L. Ed. 2d 619,1991 U.S. LEXIS 3016,1990.0,1604.0,Rehnquist,89-1690,CALIFORNIA v. CHARLES STEVEN ACEVEDO,1/8/1991,,28.0,6.0,100.0,,1.0,,,0.0,302.0,6.0,301.0,6.0,0.0,13.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10060.0,1.0,1.0,0.0,2.0,,2.0,205.0,,100.0,102.0,1.0,6.0,3.0,29283.0,California v. Acevedo,1991.0,0.0,26778,7.0,59.0
1990-093,1990-093-01,1990-093-01-01,1990-093-01-01-01,6/3/1991,1.0,500US603,111 S. Ct. 2071,114 L. Ed. 2d 649,1991 U.S. LEXIS 3022,1990.0,1604.0,Rehnquist,90-34,"EXXON CORPORATION v. CENTRAL GULF LINES, INC., et al.",4/15/1991,,198.0,,116.0,,1.0,,,0.0,96.0,,22.0,,0.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,90400.0,9.0,2.0,0.0,4.0,,6.0,600.0,28 U.S.C. § 1333,98.0,102.0,1.0,9.0,0.0,29284.0,Exxon Corp. v. Cent. Gulf Lines,1991.0,0.0,2705,0.0,8.0
1990-122,1990-122-01,1990-122-01-01,1990-122-01-01-01,6/24/1991,1.0,501US722,111 S. Ct. 2546,115 L. Ed. 2d 640,1991 U.S. LEXIS 3640,1990.0,1604.0,Rehnquist,89-7662,"ROGER KEITH COLEMAN v. CHARLES E. THOMPSON, WARDEN",2/25/1991,,126.0,,28.0,55.0,1.0,,,0.0,127.0,,24.0,,0.0,11.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,10020.0,1.0,1.0,0.0,7.0,3.0,,,,104.0,102.0,1.0,6.0,3.0,29316.0,Coleman v. Thompson,1991.0,0.0,22676,19.0,48.0
1990-125,1990-125-01,1990-125-01-01,1990-125-01-01-01,6/27/1991,1.0,501US808,111 S. Ct. 2597,115 L. Ed. 2d 720,1991 U.S. LEXIS 3821,1990.0,1604.0,Rehnquist,90-5721,PERVIS TYRONE PAYNE v. TENNESSEE,4/24/1991,,126.0,,28.0,50.0,1.0,,,0.0,302.0,50.0,300.0,50.0,0.0,13.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,10130.0,1.0,1.0,0.0,2.0,,2.0,221.0,,102.0,102.0,1.0,6.0,3.0,29319.0,Payne v. Tennessee,1991.0,0.0,28586 28949,20.0,137.0
1991-066,1991-066-01,1991-066-01-01,1991-066-01-01-01,5/4/1992,1.0,504US1,112 S. Ct. 1715,118 L. Ed. 2d 318,1992 U.S. LEXIS 2690,1991.0,1605.0,Rehnquist,90-1859,"J. C. KEENEY, SUPERINTENDENT, OREGON STATE PENITENTIARY v. JOSE TAMAYO-REYES",1/15/1992,,28.0,43.0,126.0,,1.0,,,0.0,108.0,,29.0,,0.0,11.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10020.0,1.0,1.0,0.0,3.0,,,,,95.0,102.0,1.0,5.0,4.0,29403.0,Keeney v. Tamayo-Reyes,1992.0,0.0,22672,5.0,31.0
1991-077,1991-077-01,1991-077-01-01,1991-077-01-01-01,5/26/1992,1.0,504US298,112 S. Ct. 1904,119 L. Ed. 2d 91,1992 U.S. LEXIS 3123,1991.0,1605.0,Rehnquist,91-194,"QUILL CORPORATION v. NORTH DAKOTA BY AND THROUGH ITS TAX COMMISSIONER, HEIDI HEITKAMP",1/22/1992,,238.0,,28.0,39.0,1.0,,,0.0,302.0,39.0,300.0,39.0,0.0,12.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,80100.0,8.0,1.0,0.0,2.0,,2.0,230.0,,103.0,102.0,1.0,8.0,1.0,,,,,,,
1991-117,1991-117-01,1991-117-01-01,1991-117-01-01-01,6/29/1992,1.0,505US833,112 S. Ct. 2791,120 L. Ed. 2d 674,1992 U.S. LEXIS 4751,1991.0,1605.0,Rehnquist,91-744,"PLANNED PARENTHOOD OF SOUTHEASTERN PENNSYLVANIA, et al. v. ROBERT P. CASEY, et al., ETC.",4/22/1992,,165.0,,28.0,45.0,1.0,,,0.0,109.0,,23.0,,0.0,12.0,6.0,1.0,3.0,7.0,0.0,1.0,1.0,0.0,50020.0,5.0,2.0,0.0,2.0,,2.0,230.0,,,100.0,1.0,5.0,4.0,29459.0,Planned Parenthood v. Casey,1992.0,0.0,27633 28354,12.0,101.0
1992-117,1992-117-01,1992-117-01-01,1992-117-01-01-01,6/28/1993,1.0,509US688,113 S. Ct. 2849,125 L. Ed. 2d 556,1993 U.S. LEXIS 4405,1992.0,1605.0,Rehnquist,91-1231,UNITED STATES v. ALVIN J. DIXON AND MICHAEL FOSTER,12/2/1992,,27.0,,100.0,,1.0,,,0.0,302.0,10.0,300.0,10.0,0.0,12.0,6.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,10170.0,1.0,2.0,0.0,1.0,,2.0,206.0,,105.0,95.0,1.0,5.0,4.0,,,,,,,
1993-061,1993-061-01,1993-061-01-01,1993-061-01-01-01,6/6/1994,1.0,511US738,114 S. Ct. 1921,128 L. Ed. 2d 745,1994 U.S. LEXIS 4277,1993.0,1606.0,Rehnquist,92-8556,KENNETH O. NICHOLS v. UNITED STATES,1/10/1994,,126.0,,27.0,,1.0,,,0.0,116.0,,26.0,,1.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,10120.0,1.0,1.0,0.0,1.0,,2.0,214.0,,102.0,102.0,1.0,6.0,3.0,29633.0,Nichols v. United States,1994.0,0.0,26913,3.0,20.0
1993-078,1993-078-01,1993-078-01-01,1993-078-01-01-01,6/20/1994,1.0,512US267,114 S. Ct. 2251,129 L. Ed. 2d 221,1994 U.S. LEXIS 4669,1993.0,1606.0,Rehnquist,93-744,"DIRECTOR, OFFICE OF WORKERS' COMPENSATION PROGRAMS, DEPARTMENT OF LABOR v. GREENWICH COLLIERIES",4/25/1994,,393.0,,151.0,,1.0,71.0,,0.0,23.0,,23.0,,0.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,80040.0,8.0,1.0,0.0,4.0,,3.0,305.0,,104.0,102.0,1.0,6.0,3.0,,,,,,,
1994-055,1994-055-01,1994-055-01-01,1994-055-01-01-01,5/15/1995,1.0,514US695,115 S. Ct. 1754,131 L. Ed. 2d 779,1995 U.S. LEXIS 3184,1994.0,1607.0,Rehnquist,94-172,JOHN BRUCE HUBBARD v. UNITED STATES,2/21/1995,,114.0,,27.0,,1.0,,,0.0,81.0,,26.0,,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,10420.0,1.0,2.0,0.0,4.0,,6.0,600.0,18 U.S.C. § 1001,103.0,103.0,1.0,6.0,3.0,,,,,,,
1994-069,1994-069-01,1994-069-01-01,1994-069-01-01-01,6/12/1995,1.0,515US200,115 S. Ct. 2097,132 L. Ed. 2d 158,1995 U.S. LEXIS 4037,1994.0,1607.0,Rehnquist,93-1841,"ADARAND CONSTRUCTORS, INC. v. FEDERICO PENA, SECRETARY OF TRANSPORTATION, et al.",1/17/1995,,176.0,,329.0,,1.0,,,0.0,52.0,,30.0,,0.0,12.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,20070.0,2.0,1.0,0.0,1.0,,2.0,212.0,,104.0,102.0,1.0,5.0,4.0,,,,,,,
1994-081,1994-081-01,1994-081-01-01,1994-081-01-01-01,6/19/1995,1.0,515US506,115 S. Ct. 2310,132 L. Ed. 2d 444,1995 U.S. LEXIS 4068,1994.0,1607.0,Rehnquist,94-514,UNITED STATES v. MICHAEL E. GAUDIN,4/17/1995,,27.0,,100.0,,1.0,,,0.0,88.0,,29.0,,1.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,10190.0,1.0,2.0,0.0,1.0,,2.0,207.0,,105.0,102.0,1.0,9.0,0.0,,,,,,,
1995-023,1995-023-01,1995-023-01-01,1995-023-01-01-01,2/21/1996,1.0,516US325,116 S. Ct. 848,133 L. Ed. 2d 796,1996 U.S. LEXIS 1379,1995.0,1607.0,Rehnquist,94-1239,"FULTON CORPORATION v. JANICE H. FAULKNER, SECRETARY OF REVENUE OF NORTH CAROLINA",10/31/1995,,25.0,38.0,19.0,38.0,1.0,,,0.0,302.0,38.0,300.0,38.0,0.0,12.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,0.0,80100.0,8.0,1.0,0.0,2.0,,1.0,111.0,,107.0,102.0,1.0,9.0,0.0,,,,,,,
1995-037,1995-037-01,1995-037-01-01,1995-037-01-01-01,3/27/1996,1.0,517US44,116 S. Ct. 1114,134 L. Ed. 2d 252,1996 U.S. LEXIS 2165,1995.0,1607.0,Rehnquist,94-12,SEMINOLE TRIBE OF FLORIDA v. FLORIDA et al.,10/11/1995,,170.0,,28.0,12.0,1.0,,,0.0,58.0,,31.0,,0.0,12.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,100120.0,10.0,1.0,0.0,2.0,7.0,2.0,224.0,,102.0,102.0,1.0,5.0,4.0,,,,,,,
1995-049,1995-049-01,1995-049-01-01,1995-049-01-01-01,5/13/1996,1.0,517US484,116 S. Ct. 1495,134 L. Ed. 2d 711,1996 U.S. LEXIS 3020,1995.0,1607.0,Rehnquist,94-1140,"44 LIQUORMART, INC. AND PEOPLES SUPER LIQUOR STORES, INC. v. RHODE ISLAND AND RHODE ISLAND LIQUOR STORES ASSOCIATION",11/1/1995,,115.0,,28.0,47.0,1.0,,,0.0,113.0,,21.0,,0.0,10.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,30020.0,3.0,2.0,0.0,2.0,,2.0,200.0,,103.0,102.0,1.0,9.0,0.0,,,,,,,
1995-081,1995-081-01,1995-081-01-01,1995-081-01-01-01,6/24/1996,1.0,518US343,116 S. Ct. 2174,135 L. Ed. 2d 606,1996 U.S. LEXIS 4220,1995.0,1607.0,Rehnquist,94-1511,"SAMUEL A. LEWIS, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS, et al. v. FLETCHER CASEY, JR., et al.",11/29/1995,,28.0,4.0,215.0,,1.0,,,0.0,45.0,,29.0,,0.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,40040.0,4.0,1.0,0.0,3.0,7.0,,,,105.0,102.0,1.0,8.0,1.0,,,,,,,
1996-080,1996-080-01,1996-080-01-01,1996-080-01-01-01,6/23/1997,1.0,521US203,117 S. Ct. 1997,138 L. Ed. 2d 391,1997 U.S. LEXIS 4000,1996.0,1607.0,Rehnquist,96-552,"RACHEL AGOSTINI, et al. v. BETTY-LOUISE FELTON et al.",4/15/1997,,202.0,,25.0,37.0,1.0,,,0.0,94.0,,22.0,,0.0,12.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,30180.0,3.0,1.0,0.0,2.0,,2.0,203.0,,104.0,102.0,1.0,5.0,4.0,,,,,,,
1997-002,1997-002-01,1997-002-01-01,1997-002-01-01-01,11/4/1997,1.0,522US3,118 S. Ct. 275,139 L. Ed. 2d 199,1997 U.S. LEXIS 6705,1997.0,1607.0,Rehnquist,96-871,"STATE OIL COMPANY v. BARKAT U. KHAN AND KHAN & ASSOCIATES, INC.",10/7/1997,,141.0,,238.0,,1.0,,,0.0,66.0,,27.0,,0.0,11.0,3.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,80010.0,8.0,2.0,0.0,4.0,,3.0,367.0,,104.0,102.0,1.0,9.0,0.0,,,,,,,
1997-009,1997-009-01,1997-009-01-01,1997-009-01-01-01,12/10/1997,1.0,522US93,118 S. Ct. 488,139 L. Ed. 2d 450,1997 U.S. LEXIS 7497,1997.0,1607.0,Rehnquist,96-976,"JOHN HUDSON, LARRY BARESEL, AND JACK BUTLER RACKLEY v. UNITED STATES",10/8/1997,,100.0,,27.0,,1.0,17.0,,0.0,107.0,,30.0,,0.0,9.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,10170.0,1.0,1.0,0.0,1.0,,2.0,206.0,,102.0,102.0,1.0,9.0,0.0,,,,,,,
1997-087,1997-087-01,1997-087-01-01,1997-087-01-01-01,6/15/1998,1.0,524US236,118 S. Ct. 1969,141 L. Ed. 2d 242,1998 U.S. LEXIS 3887,1997.0,1607.0,Rehnquist,96-8986,ARNOLD F. HOHN v. UNITED STATES,3/3/1998,,215.0,,27.0,,1.0,,,0.0,89.0,,28.0,,1.0,11.0,9.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,10020.0,1.0,2.0,0.0,4.0,,6.0,600.0,28 U.S.C. § 1254,106.0,103.0,1.0,5.0,4.0,,,,,,,
1998-038,1998-038-01,1998-038-01-01,1998-038-01-01-01,3/24/1999,1.0,526US172,119 S. Ct. 1187,143 L. Ed. 2d 270,1999 U.S. LEXIS 2190,1998.0,1607.0,Rehnquist,97-1337,"MINNESOTA, et al. v. MILLE LACS BAND OF CHIPPEWA INDIANS et al.",12/2/1998,,28.0,28.0,170.0,,1.0,,,0.0,83.0,,28.0,,0.0,12.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,20150.0,2.0,2.0,0.0,4.0,,6.0,600.0,7 Stat. 536,104.0,103.0,1.0,5.0,4.0,,,,,,,
1998-090,1998-090-01,1998-090-01-01,1998-090-01-01-01,6/23/1999,1.0,527US666,119 S. Ct. 2219,144 L. Ed. 2d 605,1999 U.S. LEXIS 4375,1998.0,1607.0,Rehnquist,98-149,COLLEGE SAVINGS BANK v. FLORIDA PREPAID POSTSECONDARY EDUCATION EXPENSE BOARD et al.,4/20/1999,,113.0,,4.0,12.0,1.0,,,0.0,92.0,,23.0,,0.0,12.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,100120.0,10.0,1.0,0.0,1.0,,6.0,600.0,15 U.S.C. § 1125,105.0,102.0,1.0,5.0,4.0,,,,,,,
1999-087,1999-087-01,1999-087-01-01,1999-087-01-01-01,6/28/2000,7.0,530US793,120 S. Ct. 2530,147 L. Ed. 2d 660,2000 U.S. LEXIS 4485,1999.0,1607.0,Rehnquist,98-1648,"GUY MITCHELL, et al. v. MARY L. HELMS, et al.",12/1/1999,,19.0,22.0,25.0,22.0,1.0,,,0.0,75.0,,25.0,,0.0,12.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,30180.0,3.0,1.0,0.0,1.0,,2.0,203.0,,108.0,102.0,1.0,6.0,3.0,,,,,,,
2000-053,2000-053-01,2000-053-01-01,2000-053-01-01-01,5/21/2001,1.0,532US557,121 S. Ct. 1782,149 L. Ed. 2d 820,2001 U.S. LEXIS 3813,2000.0,1607.0,Rehnquist,99-1978,"UNITED STATES v. TERRY J. HATTER, JR., JUDGE, UNITED STATES DISTRICT COURT FOR THE CENTRAL DISTRICT OF CALIFORNIA, et al.",2/20/2001,,27.0,,16.0,60.0,1.0,,,0.0,3.0,,8.0,,0.0,12.0,3.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,120010.0,12.0,2.0,0.0,1.0,,1.0,137.0,,110.0,102.0,1.0,5.0,2.0,,,,,,,
2001-047,2001-047-01,2001-047-01-01,2001-047-01-01-01,5/13/2002,1.0,535US613,122 S. Ct. 1640,152 L. Ed. 2d 806,2002 U.S. LEXIS 3220,2001.0,1607.0,Rehnquist,01-298,"PAUL D. LAPIDES v. BOARD OF REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA, et al.",2/25/2002,,8.0,13.0,26.0,13.0,1.0,,,0.0,60.0,,31.0,,0.0,11.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,100120.0,10.0,2.0,0.0,2.0,,2.0,224.0,,110.0,102.0,1.0,9.0,0.0,,,,,,,
2001-048,2001-048-01,2001-048-01-01,2001-048-01-01-01,5/20/2002,1.0,535US625,122 S. Ct. 1781,152 L. Ed. 2d 860,2002 U.S. LEXIS 3565,2001.0,1607.0,Rehnquist,01-687,"UNITED STATES v. LEONARD COTTON, MARQUETTE HALL, LAMONT THOMAS, MATILDA HALL, JOVAN POWELL, JESUS HALL, AND STANLEY HALL, JR.",4/15/2002,,27.0,,100.0,,1.0,,,0.0,79.0,,24.0,,0.0,12.0,5.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,10370.0,1.0,1.0,0.0,4.0,,4.0,401.0,,102.0,102.0,1.0,9.0,0.0,,,,,,,
2001-070,2001-070-01,2001-070-01-01,2001-070-01-01-01,6/20/2002,1.0,536US304,122 S. Ct. 2242,153 L. Ed. 2d 335,2002 U.S. LEXIS 4648,2001.0,1607.0,Rehnquist,00-8452,DARYL RENARD ATKINS v. VIRGINIA,2/20/2002,,126.0,,28.0,55.0,1.0,,,0.0,302.0,55.0,300.0,55.0,1.0,10.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,10130.0,1.0,2.0,0.0,2.0,,2.0,221.0,,103.0,103.0,1.0,6.0,3.0,,,,,,,
2001-077,2001-077-01,2001-077-01-01,2001-077-01-01-01,6/24/2002,1.0,536US584,122 S. Ct. 2428,153 L. Ed. 2d 556,2002 U.S. LEXIS 4651,2001.0,1607.0,Rehnquist,01-488,TIMOTHY STUART RING v. ARIZONA,4/22/2002,,126.0,,28.0,4.0,1.0,,,0.0,302.0,4.0,300.0,4.0,0.0,9.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,10560.0,1.0,2.0,0.0,2.0,,2.0,215.0,,109.0,103.0,1.0,7.0,2.0,,,,,,,
2002-083,2002-083-01,2002-083-01-01,2002-083-01-01-01,6/26/2003,1.0,539US558,123 S. Ct. 2472,156 L. Ed. 2d 508,2003 U.S. LEXIS 5013,2002.0,1607.0,Rehnquist,02-102,JOHN GEDDES LAWRENCE AND TYRON GARNER v. TEXAS,3/26/2003,,162.0,,28.0,51.0,1.0,,,0.0,302.0,51.0,301.0,51.0,1.0,11.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,50010.0,5.0,2.0,0.0,2.0,,2.0,230.0,,106.0,103.0,1.0,6.0,3.0,,,,,,,
2003-040,2003-040-01,2003-040-01-01,2003-040-01-01-01,3/8/2004,1.0,541US36,124 S. Ct. 1354,158 L. Ed. 2d 177,2004 U.S. LEXIS 1838,2003.0,1607.0,Rehnquist,02-9410,MICHAEL D. CRAWFORD v. WASHINGTON,11/10/2003,,100.0,,28.0,56.0,1.0,,,0.0,302.0,56.0,300.0,56.0,0.0,11.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,10270.0,1.0,2.0,0.0,2.0,,2.0,213.0,,105.0,102.0,1.0,9.0,0.0,,,,,,,
